College Code,College Name,Seat Type,AD-Artificial Intelligence & Data Science,"AE-Aeronautical Engineering","AG-Agriculture Engineering",AI-Artificial Intelligence & Machine Learning,,"AL-Agricultural Engineering",,,"AR-Automation & Robotics Engineering",,,AS-Aerospace Engineering,,,
E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E187,"CMR University-Bagalur-Chagalatti, Bengaluru",GM,,,,,,,,,,,,,,,
E194,"Jain College of Engineering and Technology-Unkal, Hubballi",GM,,,,65772,,,,,,,,,,,
E195,"Navkis College of Engineering -Kandali NH75, Hassan",GM,,,,,,,,,,,,,,,
E197,"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E198,"R V Institute of Technology and Management-J P Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E199,"Biluru Gurubasava Mahaswamiji Institute of Technology-Mudhol, Bagalkot",GM,,,,,,,,,,,,,,,
E201,"G Madegowda Institute of Technology-Maddur, Mandya District",GM,,,,,,,,,,,,,,,
E202,"C Byregowda Insitute of Technology-Thoradevandahalli, Kolar",GM,,,,,,,,,,,,,,,
E203,"Amruta Institute of Engineering and Management Science-Bidadi, Ramnagar Taluk,
Bengaluru Rural",GM,,,,,,,,,,,,,,,
E204,"H.K.E. Societys Sir M. Visvesvaraya College of Engineering-Yermarus Camp, Raichur",GM,,,,,,,,,,,,,,,
E205,"Vijaya Vittala Institution of Technology-Kothanur, Bengaluru",GM,,,,,,,,,,,,,,,
E206,"Cauvery Institute Of Technology-Sundahalli, Mandya",GM,,,,,,,,,,,,,,,
E207,"BGS College of Engineering and Technology-Mahalaxmipuram, Bengaluru",GM,,,,,,,,,,,,,,,
E208,"A.G.M Rural College of Engineering and Technology-Varur, Hubballi",GM,,,,,,,,,,,,,,,
E209,"Aditya College of Engineering and Technology-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E210,"Impact College Of Engineering and Applied Science-Sahakar Nagar, Bengaluru",GM,,,,,,,,,,,,,,,
E211,"East West College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E212,"Seshadripuram Institute of Technology - Jaipura Hobli, Mysur",GM,,,,56283,,,,,,,,,,,
College Code,College Name,Seat Type,"AU-Automobile Engineering","AVE-Automotive Engineering",BD-Bachelor of Design,"BM-Bio-Medical Engineering",,BP-Bachelor of Urban & Regional Planning,,,"BT-Bio-technology",,,CA-Computer Science & Engineering (Artificial Intelligence),,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagalur",GM,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,,,,,,,,,,,,,,
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,,,,,,,,,,,,,,,
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,,,,,,,,,,,,,,,
E011,"APS College of Engineering-Kanakapura Road, Bengaluru",GM,,,,,,,,,,,,,,,
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,,,,,,,,,,,,,,,
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,,,,,,,,,,,,,,,
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,,,,,,,,,,,,,,,
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,,,,,,,,,,,,,,,
E016,"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",GM,,,,,,,,,95802,,,49639,,,
E017,"Ballari Institute of Technology And Management-Near Allipura, Ballari",GM,,,,,,,,,,,,,,,
E018,"Bangalore College of Engineering and Technology-Chandapura, Bengalur",GM,,,,,,,,,,,,,,,
E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E020,"Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru",GM,,,,,,,,,,,,,,,
E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,,,,,,,,,,,,,,,
E023,"Basavakalyan Engineering College-NH9 Basavakalyan, Bida",GM,,,,,,,,,,,,,,,
E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,,,,,,,,,,,,,,,
E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road,
Vijayapura",GM,,,,,,,,,,,,,,,
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,,,,,,,,,41118,,,,,,
E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E030,"Brindavan College of Engineering-Yelahanka, Bengaluru",GM,,,,,,,,,,,,,,,
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,,,,,,,,,,,,,,,
E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,,,,,,,,,,,,,,,
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,,,,,,,,,,,,,,,
E036,"Chanakya University-Devanahalli, Bengaluru Rural",GM,,,,,,,,,,,,,,,
E037,"City Engineering College-Doddakalasandra, Bengalur",GM,,,,,,,,,,,,,,,
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,,,,,,,,,,,,,,,
